OTUID	BacDupRt8	BacDupSoil16	BacRt25	BacRt26	BacRt27	BacRt28	BacRt29	BacRt30	BacRt31	BacRt32	BacRt33	BacRt34	BacRt35	BacRt36	BacRt37	BacRt38	BacRt39	BacRt40	BacRt41	BacRt42	BacRt43	BacRt44	BacRt45	BacRt46	BacRt47	BacRt48	BacRt49	BacRt50	BacRt51	BacRt52	BacRt53	BacRt54	BacRt55	BacRt56	BacRt57	BacRt58	BacRt59	BacRt60	BacRt61	BacRt62	BacRtNTC1	BacRtNTC2	BacRtNTC3	BacRtNTC4	BacRtNTC5	BacSoil1	BacSoil10	BacSoil11	BacSoil12	BacSoil13	BacSoil14	BacSoil15	BacSoil16	BacSoil17	BacSoil18	BacSoil19	BacSoil2	BacSoil20	BacSoil21	BacSoil22	BacSoil23	BacSoil24	BacSoil25	BacSoil26	BacSoil27	BacSoil28	BacSoil29	BacSoil3	BacSoil30	BacSoil31	BacSoil32	BacSoil33	BacSoil34	BacSoil35	BacSoil36	BacSoil37	BacSoil38	BacSoil39	BacSoil4	BacSoil40	BacSoil41	BacSoil42	BacSoil43	BacSoil44	BacSoil45	BacSoil46	BacSoil47	BacSoil48	BacSoil49	BacSoil5	BacSoil50	BacSoil51	BacSoil52	BacSoil53	BacSoil54	BacSoil55	BacSoil56	BacSoil57	BacSoil58	BacSoil59	BacSoil6	BacSoil60	BacSoil61	BacSoil62	BacSoil7	BacSoil8	BacSoil9	BacSoilNTC1	BacSoilNTC2
65254c8e982a1317d52136dd7ac4b10f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	112	0	0	0	157	94	0	0	88	0	0	81	0	0	84	82	857	212	0	416	0	0	0	396	0	175	0	0	80	134	128	0	398	0	177	79	0	238	97	0	101	0	0	0	170	0	121	0	0	0	228	0	62	172	469	0	0	0	0	0
5fc23f6fa59c3af325ed51407384b6ce	0	200	276	357	387	351	382	394	133	153	0	0	85	0	0	0	110	110	96	0	0	0	119	125	0	164	214	107	0	89	114	265	0	0	0	0	0	0	0	120	0	0	141	102	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ca123c2e9c71219601b7cd6b8abff453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	153	92	0	122	206	0	96	89	136	149	0	0	152	0	0	146	93	172	51	49	76	220	0	0	128	102	77	60	34	0	0	0	266	94	0	0	59	56	0	13	0	91	74	188	175	99	0	66	129	159	127	0	0	67	0	97	99	106	186	73	161	0	0
15f4973db891e3c557af639edfbc8857	0	0	0	0	28	19	88	33	125	0	0	142	152	118	0	0	18	68	43	22	0	0	0	55	186	71	0	18	0	0	0	9	44	0	0	29	0	46	0	41	36	0	0	0	27	59	86	90	78	68	64	137	134	84	89	57	95	64	95	117	113	0	89	0	0	60	86	73	0	108	70	0	0	67	70	0	0	34	153	48	0	50	0	40	0	29	41	49	93	109	57	80	0	69	57	0	57	0	0	40	87	0	131	42	0	48	108	0	0
c75ef51df0fdb45db62a2e9c118f60b6	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	53	0	98	68	0	43	175	63	0	0	0	0	50	59	54	63	60	88	536	0	0	261	0	43	34	246	0	111	0	57	65	161	118	49	250	48	113	65	22	105	83	79	85	64	44	0	147	84	87	69	0	54	143	54	69	0	355	0	0	0	0	0
3e478bfaedba1f7cef3ec3351a4d477c	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	219	126	136	114	82	125	55	133	147	154	80	86	147	153	166	162	101	90	24	0	41	39	39	202	98	99	57	25	0	0	28	32	24	63	127	41	30	0	0	12	46	84	117	37	157	41	0	0	53	111	88	49	53	40	29	0	0	66	33	38	85	0	0
c31c770d88d12bb5292523c7c160a971	105	149	182	193	245	264	195	73	0	104	81	135	89	0	25	21	26	31	145	147	85	71	134	104	0	114	147	150	172	127	20	158	0	64	81	0	0	106	5	113	10	0	183	10	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c86696d0542b2e12d86d29b1aa42846e	0	0	0	0	0	0	0	0	0	0	71	157	199	165	0	0	0	0	0	0	0	0	0	351	156	40	0	0	0	0	0	0	0	0	0	107	46	0	0	0	108	0	0	0	0	0	39	175	118	0	0	0	88	0	102	29	0	0	0	122	0	110	0	0	0	0	150	0	0	68	0	0	71	199	110	0	0	0	52	71	202	0	0	0	0	0	0	0	68	0	0	0	75	183	103	0	0	0	103	0	69	61	124	44	0	0	0	0	0
c179d1970077f442bef91c64f370e3db	0	0	0	0	0	0	27	0	52	0	0	45	57	0	0	0	0	0	68	0	38	0	0	56	0	0	0	0	0	0	0	0	0	91	0	0	0	37	12	35	0	0	0	59	0	0	0	0	0	32	37	0	0	28	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3491	0
e51ab54963dc6ae2c39260150abc3c1e	34	0	131	34	0	20	66	74	104	110	47	35	53	142	0	0	0	31	32	0	61	54	0	36	69	114	0	37	0	0	0	0	78	50	37	34	43	89	44	60	0	0	12	10	0	77	20	0	52	40	56	35	25	51	55	44	96	38	0	30	53	67	46	86	65	0	39	58	0	105	56	73	0	33	56	28	55	34	41	18	60	0	47	36	35	0	25	57	97	0	44	41	0	0	82	40	52	0	0	0	54	56	0	47	65	73	21	0	0
9da4dd9ebc7e5accaa151be77c6f82ee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	20	0	0	0	0	0	0	0	175	22	0	20	0	0	0	0	0	0	0	0	309	0	0	0	0	21	0	0	976	103	12	0	0	0	0	933	160	0	0	0	673	486	0	0	0	48	35	0	0	0	0	0
1a705f95411c604a8517b2d136cf6b44	0	0	0	0	17	579	0	106	0	0	0	0	0	0	87	316	170	166	0	51	0	86	0	0	0	0	0	0	0	30	0	0	0	0	0	40	0	0	0	0	0	178	0	0	55	0	0	0	0	0	0	87	300	0	0	0	0	0	0	0	0	0	78	72	101	65	80	0	76	25	0	0	39	0	0	46	0	0	89	0	0	0	111	61	172	80	0	170	35	14	0	0	116	0	0	58	29	100	0	0	0	33	0	0	0	0	0	0	0
5d02b9c2d069182a95cd7414b41f7fc8	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	17	34	12	0	40	0	0	4	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	9	0	132	100	92	54	40	82	74	58	69	50	52	44	212	101	87	125	37	48	84	0	88	42	32	147	56	85	65	72	42	47	40	58	38	69	77	50	29	47	65	13	24	60	79	47	93	63	39	43	68	30	101	28	54	35	58	65	58	57	0	56	67	0	0
8b644fd5f0e44c5f4d28368cdb410013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	72	60	67	120	113	108	48	89	83	129	159	131	92	69	75	94	32	99	29	0	0	105	29	54	115	61	0	0	61	45	103	45	38	52	32	56	48	55	67	0	25	0	93	0	80	125	0	48	0	115	98	0	27	45	97	42	44	77	118	126	80	0	0
66f0647dcebc0e050c364502d7f64335	0	0	259	404	345	289	395	335	121	162	0	85	0	0	0	126	0	118	0	0	0	0	0	0	0	0	215	112	0	0	0	102	0	0	0	0	0	0	0	0	106	0	123	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
